交易 #,类型,日期/时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %,累计P&L USDT,累计P&L %
1,多头出场,2017-09-08 20:00,平多,4348.65,2.10304,9999.9552,-864.14,-8.64,65.64,0.66,-1531.95,-15.31,-864.14,-8.64
1,多头进场,2017-09-07 20:00,开多,4755,2.10304,9999.9552,-864.14,-8.64,65.64,0.66,-1531.95,-15.31,-864.14,-8.64
2,空头出场,2017-09-12 12:00,平空-EMA,4361,2.50692,9999.978534,-943.17,-9.43,217.87,2.18,-1021.91,-10.21,-1807.31,-18.07
2,空头进场,2017-09-10 12:00,开空,3988.95,2.50692,9999.978534,-943.17,-9.43,217.87,2.18,-1021.91,-10.21,-1807.31,-18.07
3,空头出场,2017-09-15 16:00,平空-止盈,2919,2.5401,9999.967284,2576.71,25.75,2839.51,28.38,-147.65,-1.48,769.4,7.69
3,空头进场,2017-09-13 08:00,开空,3936.84,2.5401,9999.967284,2576.71,25.75,2839.51,28.38,-147.65,-1.48,769.4,7.69
4,多头出场,2017-11-11 00:00,平多,6526.31,2.45519,9999.98887,6010.33,60.07,9071.89,90.67,-302.05,-3.02,6779.73,67.80
4,多头进场,2017-09-27 16:00,开多,4073,2.45519,9999.98887,6010.33,60.07,9071.89,90.67,-302.05,-3.02,6779.73,67.80
5,空头出场,2017-11-13 20:00,平空-EMA,6589.99,1.67897,9999.978899,-1074.95,-10.74,1054.45,10.54,-1249.87,-12.49,5704.78,57.05
5,空头进场,2017-11-12 08:00,开空,5956.02,1.67897,9999.978899,-1074.95,-10.74,1054.45,10.54,-1249.87,-12.49,5704.78,57.05
6,多头出场,2017-12-21 20:00,平多,14400,1.42897,9999.93206,10561.95,105.57,18286.79,182.78,-5,-0.05,16266.73,162.67
6,多头进场,2017-11-15 16:00,开多,6998,1.42897,9999.93206,10561.95,105.57,18286.79,182.78,-5,-0.05,16266.73,162.67
7,空头出场,2017-12-26 12:00,平空-EMA,15063.02,0.78576,9999.935352,-1846.9,-18.46,1382.22,13.82,-2066.48,-20.65,14419.83,144.20
7,空头进场,2017-12-22 12:00,开空,12726.45,0.78576,9999.935352,-1846.9,-18.46,1382.22,13.82,-2066.48,-20.65,14419.83,144.20
8,空头出场,2018-01-03 00:00,平空-EMA,14732.75,0.76045,9999.9175,-1214.2,-12.14,1059.63,10.59,-1771.9,-17.71,13205.62,132.06
8,空头进场,2017-12-30 16:00,开空,13150,0.76045,9999.9175,-1214.2,-12.14,1059.63,10.59,-1771.9,-17.71,13205.62,132.06
9,多头出场,2018-01-08 20:00,平多,14299.98,0.62147,9999.881114,-1122.32,-11.22,669.64,6.69,-2042.61,-20.42,12083.31,120.83
9,多头进场,2018-01-05 16:00,开多,16090.69,0.62147,9999.881114,-1122.32,-11.22,669.64,6.69,-2042.61,-20.42,12083.31,120.83
10,空头出场,2018-02-01 20:00,平空-止盈,9339.87,0.77399,9999.9508,2762.37,27.61,3001.95,30.00,-1289.82,-12.89,14845.68,148.46
10,空头进场,2018-01-11 08:00,开空,12920,0.77399,9999.9508,2762.37,27.61,3001.95,30.00,-1289.82,-12.89,14845.68,148.46
11,多头出场,2018-02-22 20:00,平多,9980.98,0.98904,9999.93618,-138.28,-1.38,1651.9,16.51,-444.88,-4.45,14707.4,147.07
11,多头进场,2018-02-16 00:00,开多,10110.75,0.98904,9999.93618,-138.28,-1.38,1651.9,16.51,-444.88,-4.45,14707.4,147.07
12,空头出场,2018-02-26 20:00,平空-EMA,10260.92,1.06496,9999.9744,-937.96,-9.37,117.68,1.18,-1020.97,-10.20,13769.44,137.69
12,空头进场,2018-02-25 20:00,开空,9390,1.06496,9999.9744,-937.96,-9.37,117.68,1.18,-1020.97,-10.20,13769.44,137.69
13,多头出场,2018-03-07 12:00,平多,10510,0.94339,9999.934,-94.86,-0.95,1042.16,10.42,-344.62,-3.44,13674.57,136.75
13,多头进场,2018-02-27 12:00,开多,10600,0.94339,9999.934,-94.86,-0.95,1042.16,10.42,-344.62,-3.44,13674.57,136.75
14,空头出场,2018-03-18 08:00,平空-止盈,7666.35,1.01582,9999.914928,2203.39,22.02,2335.64,23.34,-303.51,-3.03,15877.96,158.78
14,空头进场,2018-03-08 00:00,开空,9844.18,1.01582,9999.914928,2203.39,22.02,2335.64,23.34,-303.51,-3.03,15877.96,158.78
15,多头出场,2018-05-09 08:00,平多,9032.08,1.30039,9999.9991,1734.35,17.33,3024.91,30.23,-197.46,-1.97,17612.32,176.12
15,多头进场,2018-04-12 16:00,开多,7690,1.30039,9999.9991,1734.35,17.33,3024.91,30.23,-197.46,-1.97,17612.32,176.12
16,多头出场,2018-05-11 00:00,平多,9085,1.06734,9999.90846,-312.97,-3.13,22.88,0.23,-342.32,-3.42,17299.34,172.99
16,多头进场,2018-05-10 12:00,开多,9369,1.06734,9999.90846,-312.97,-3.13,22.88,0.23,-342.32,-3.42,17299.34,172.99
17,空头出场,2018-05-23 12:00,平空-止盈,7838,1.14639,9999.95997,1005.06,10.05,1047.39,10.47,-184.97,-1.85,18304.41,183.04
17,空头进场,2018-05-11 12:00,开空,8723,1.14639,9999.95997,1005.06,10.05,1047.39,10.47,-184.97,-1.85,18304.41,183.04
18,多头出场,2018-07-06 12:00,平多,6478.85,1.49616,9999.974362,-316.42,-3.16,37.25,0.37,-392.15,-3.92,17987.98,179.88
18,多头进场,2018-07-04 20:00,开多,6683.76,1.49616,9999.974362,-316.42,-3.16,37.25,0.37,-392.15,-3.92,17987.98,179.88
19,多头出场,2018-07-10 16:00,平多,6365.06,1.47995,9999.992551,-589.73,-5.89,61.72,0.62,-641.35,-6.41,17398.25,173.98
19,多头进场,2018-07-08 04:00,开多,6756.98,1.47995,9999.992551,-589.73,-5.89,61.72,0.62,-641.35,-6.41,17398.25,173.98
20,空头出场,2018-07-16 16:00,平空-EMA,6635.57,1.56648,9999.938376,-404.75,-4.05,486.4,4.86,-453.48,-4.53,16993.5,169.94
20,空头进场,2018-07-10 20:00,开空,6383.7,1.56648,9999.938376,-404.75,-4.05,486.4,4.86,-453.48,-4.53,16993.5,169.94
21,多头出场,2018-08-01 08:00,平多,7539.99,1.50766,9999.977095,1357.08,13.56,2797.72,27.96,-30.3,-0.30,18350.58,183.51
21,多头进场,2018-07-16 20:00,开多,6632.78,1.50766,9999.977095,1357.08,13.56,2797.72,27.96,-30.3,-0.30,18350.58,183.51
