交易 #,类型,日期/时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %,累计P&L USDT,累计P&L %
1,空头出场,2020-09-26 00:00,平空-EMA,3.22,3246.753,9999.99924,-464.77,-4.65,2332.66,23.31,-1498.51,-14.98,-464.77,-4.65
1,空头进场,2020-09-13 20:00,开空,3.08,3246.753,9999.99924,-464.77,-4.65,2332.66,23.31,-1498.51,-14.98,-464.77,-4.65
2,空头出场,2020-10-02 16:00,平空-止盈,2.47,3378.378,9999.99888,1646.23,16.45,1819.32,18.18,-241.49,-2.41,1181.46,11.81
2,空头进场,2020-09-29 04:00,开空,2.96,3378.378,9999.99888,1646.23,16.45,1819.32,18.18,-241.49,-2.41,1181.46,11.81
3,多头出场,2020-11-08 00:00,平多,1.89,4524.886,9999.99806,-1457.24,-14.57,1307.22,13.07,-1724.46,-17.24,-275.78,-2.76
3,多头进场,2020-11-07 12:00,开多,2.21,4524.886,9999.99806,-1457.24,-14.57,1307.22,13.07,-1724.46,-17.24,-275.78,-2.76
4,多头出场,2020-11-12 16:00,平多,1.97,4444.444,9999.999,-1253.82,-12.53,350.56,3.50,-1516.11,-15.15,-1529.6,-15.30
4,多头进场,2020-11-11 00:00,开多,2.25,4444.444,9999.999,-1253.82,-12.53,350.56,3.50,-1516.11,-15.15,-1529.6,-15.30
5,多头出场,2020-11-26 08:00,平多,1.94,4545.454,9999.9988,-1191.23,-11.91,1404.09,14.03,-1914.09,-19.13,-2720.83,-27.21
5,多头进场,2020-11-15 20:00,开多,2.2,4545.454,9999.9988,-1191.23,-11.91,1404.09,14.03,-1914.09,-19.13,-2720.83,-27.21
6,空头出场,2020-12-01 12:00,平空-EMA,2.12,5464.48,9999.9984,-1595.49,-15.95,541.45,5.41,-1698.99,-16.98,-4316.32,-43.16
6,空头进场,2020-11-26 20:00,开空,1.83,5464.48,9999.9984,-1595.49,-15.95,541.45,5.41,-1698.99,-16.98,-4316.32,-43.16
