交易 #,类型,日期/时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %,累计P&L USDT,累计P&L %
153,空头进场,2024-04-13 00:00,开空,3206.17,3.1189,9999.723613,-330.47,-3.30,1099.62,10.99,-389.97,-3.90,63956.15,639.56
154,空头出场,2024-05-11 16:00,平空-止盈,2903.4,3.1644,9999.852084,802.74,8.02,1080.74,10.80,-292.45,-2.92,64758.89,647.59
154,空头进场,2024-04-29 16:00,开空,3160.11,3.1644,9999.852084,802.74,8.02,1080.74,10.80,-292.45,-2.92,64758.89,647.59
155,多头出场,2024-06-11 12:00,平多,3534.6,2.9079,9999.890073,268.23,2.68,1559.83,15.59,-58.8,-0.59,65027.12,650.27
155,多头进场,2024-05-21 00:00,开多,3438.87,2.9079,9999.890073,268.23,2.68,1559.83,15.59,-58.8,-0.59,65027.12,650.27
156,空头出场,2024-06-12 20:00,平空-EMA,3618.32,2.9004,9999.8541,-504.97,-5.05,40.68,0.41,-617.74,-6.17,64522.15,645.22
156,空头进场,2024-06-11 20:00,开空,3447.75,2.9004,9999.8541,-504.97,-5.05,40.68,0.41,-617.74,-6.17,64522.15,645.22
157,空头出场,2024-06-15 20:00,平空-EMA,3565.8,2.9055,9999.946515,-370.67,-3.70,225.9,2.26,-448.55,-4.48,64151.48,641.51
157,空头进场,2024-06-13 20:00,开空,3441.73,2.9055,9999.946515,-370.67,-3.70,225.9,2.26,-448.55,-4.48,64151.48,641.51
158,空头出场,2024-06-19 08:00,平空-EMA,3565.93,2.9056,9999.709568,-371.64,-3.71,200.16,2.00,-387.23,-3.87,63779.85,637.80
158,空头进场,2024-06-18 08:00,开空,3441.53,2.9056,9999.709568,-371.64,-3.71,200.16,2.00,-387.23,-3.87,63779.85,637.80
159,空头出场,2024-07-01 08:00,平空-EMA,3498.23,2.878,9999.72612,-78.21,-0.78,670.01,6.70,-150.05,-1.50,63701.64,637.02
159,空头进场,2024-06-23 20:00,开空,3474.54,2.878,9999.72612,-78.21,-0.78,670.01,6.70,-150.05,-1.50,63701.64,637.02
160,空头出场,2024-07-04 12:00,平空-止盈,3182.21,2.9277,9999.998505,673.78,6.73,758.11,7.58,-57.7,-0.58,64375.42,643.75
160,空头进场,2024-07-02 20:00,开空,3415.65,2.9277,9999.998505,673.78,6.73,758.11,7.58,-57.7,-0.58,64375.42,643.75
161,多头出场,2024-07-25 00:00,平多,3363,2.9692,9999.760836,-24.33,-0.24,573.96,5.74,-68.18,-0.68,64351.09,643.51
161,多头进场,2024-07-15 20:00,开多,3367.83,2.9692,9999.760836,-24.33,-0.24,573.96,5.74,-68.18,-0.68,64351.09,643.51
162,空头出场,2024-07-29 08:00,平空-EMA,3348.98,3.1562,9999.78846,-580.55,-5.80,249.93,2.50,-599.63,-5.99,63770.54,637.71
162,空头进场,2024-07-25 08:00,开空,3168.3,3.1562,9999.78846,-580.55,-5.80,249.93,2.50,-599.63,-5.99,63770.54,637.71
163,空头出场,2024-08-03 20:00,平空-止盈,2942.4,3.0933,9999.834642,888.56,8.88,982.32,9.82,-35.41,-0.35,64659.1,646.59
163,空头进场,2024-08-01 04:00,开空,3232.74,3.0933,9999.834642,888.56,8.88,982.32,9.82,-35.41,-0.35,64659.1,646.59
164,多头出场,2024-10-01 20:00,平多,2524.81,3.9047,9999.9367,-151.24,-1.51,649.43,6.49,-315.81,-3.16,64507.86,645.08
164,多头进场,2024-09-20 12:00,开多,2561,3.9047,9999.9367,-151.24,-1.51,649.43,6.49,-315.81,-3.16,64507.86,645.08
165,空头出场,2024-10-14 08:00,平空-EMA,2521.11,4.0853,9999.956487,-309.68,-3.10,557.91,5.58,-326.96,-3.27,64198.17,641.98
165,空头进场,2024-10-02 04:00,开空,2447.79,4.0853,9999.956487,-309.68,-3.10,557.91,5.58,-326.96,-3.27,64198.17,641.98
166,多头出场,2024-10-23 20:00,平多,2540.22,3.7943,9999.763821,-371.23,-3.71,503.47,5.03,-406.47,-4.06,63826.95,638.27
166,多头进场,2024-10-14 20:00,开多,2635.47,3.7943,9999.763821,-371.23,-3.71,503.47,5.03,-406.47,-4.06,63826.95,638.27
167,空头出场,2024-10-29 04:00,平空-EMA,2567.48,4.0256,9999.872192,-345.94,-3.46,403.52,4.03,-430.1,-4.30,63481,634.81
167,空头进场,2024-10-25 12:00,开空,2484.07,4.0256,9999.872192,-345.94,-3.46,403.52,4.03,-430.1,-4.30,63481,634.81
168,多头出场,2024-11-01 00:00,平多,2514.33,3.8347,9999.938925,-368.06,-3.68,434.26,4.34,-394.03,-3.94,63112.95,631.13
168,多头进场,2024-10-29 08:00,开多,2607.75,3.8347,9999.938925,-368.06,-3.68,434.26,4.34,-394.03,-3.94,63112.95,631.13
169,空头出场,2024-11-06 08:00,平空-EMA,2579.31,4.0823,9999.961257,-539.82,-5.40,370.57,3.70,-774.15,-7.74,62573.13,625.73
169,空头进场,2024-11-03 08:00,开空,2449.59,4.0823,9999.961257,-539.82,-5.40,370.57,3.70,-774.15,-7.74,62573.13,625.73
170,多头出场,2024-12-19 20:00,平多,3613.92,3.8036,9999.740472,3734.29,37.33,5619.69,56.17,-84.95,-0.85,66307.41,663.07
170,多头进场,2024-11-06 16:00,开多,2629.02,3.8036,9999.740472,3734.29,37.33,5619.69,56.17,-84.95,-0.85,66307.41,663.07
171,空头出场,2025-01-03 20:00,平空-EMA,3565.13,2.9074,9999.827856,-375.61,-3.75,976.36,9.76,-402.03,-4.02,65931.8,659.32
171,空头进场,2024-12-20 00:00,开空,3439.44,2.9074,9999.827856,-375.61,-3.75,976.36,9.76,-402.03,-4.02,65931.8,659.32
172,多头出场,2025-01-07 20:00,平多,3462.64,2.7602,9999.735366,-451.94,-4.52,331.74,3.32,-581.94,-5.82,65479.87,654.80
172,多头进场,2025-01-04 00:00,开多,3622.83,2.7602,9999.735366,-451.94,-4.52,331.74,3.32,-581.94,-5.82,65479.87,654.80
173,空头出场,2025-01-13 16:00,平空-止盈,3057.16,2.9536,9999.914912,960.77,9.60,969.07,9.69,-91.92,-0.92,66440.64,664.41
173,空头进场,2025-01-08 00:00,开空,3385.67,2.9536,9999.914912,960.77,9.60,969.07,9.69,-91.92,-0.92,66440.64,664.41
174,空头出场,2025-01-20 00:00,平空-EMA,3418.92,3.0417,9999.984171,-409.54,-4.09,473,4.73,-495.81,-4.96,66031.09,660.31
174,空头进场,2025-01-18 12:00,开空,3287.63,3.0417,9999.984171,-409.54,-4.09,473,4.73,-495.81,-4.96,66031.09,660.31
175,空头出场,2025-01-24 12:00,平空-EMA,3380.8,3.1103,9999.987736,-525.57,-5.25,220,2.20,-747.02,-7.47,65505.52,655.06
175,空头进场,2025-01-20 04:00,开空,3215.12,3.1103,9999.987736,-525.57,-5.25,220,2.20,-747.02,-7.47,65505.52,655.06
176,空头出场,2025-01-31 16:00,平空-EMA,3335.16,3.0934,9999.755774,-327.39,-3.27,652.66,6.52,-332.71,-3.33,65178.14,651.78
176,空头进场,2025-01-27 04:00,开空,3232.61,3.0934,9999.755774,-327.39,-3.27,652.66,6.52,-332.71,-3.33,65178.14,651.78
177,空头出场,2025-02-03 08:00,平空-止盈,2527.12,3.1278,9999.826824,2086.55,20.86,3348.22,33.47,-5.03,-0.05,67264.69,672.65
177,空头进场,2025-02-02 00:00,开空,3197.08,3.1278,9999.826824,2086.55,20.86,3348.22,33.47,-5.03,-0.05,67264.69,672.65
178,多头出场,2025-04-28 20:00,平多,1763.28,5.4918,9999.908784,-326.17,-3.26,195.95,1.96,-382.29,-3.82,66938.52,669.39
178,多头进场,2025-04-27 04:00,开多,1820.88,5.4918,9999.908784,-326.17,-3.26,195.95,1.96,-382.29,-3.82,66938.52,669.39
179,多头出场,2025-04-30 20:00,平多,1764.74,5.4893,9999.912703,-322.57,-3.22,111.81,1.12,-499.09,-4.99,66615.95,666.16
179,多头进场,2025-04-29 12:00,开多,1821.71,5.4893,9999.912703,-322.57,-3.22,111.81,1.12,-499.09,-4.99,66615.95,666.16
180,多头出场,2025-05-06 16:00,平多,1769.92,5.4183,9999.906114,-419.74,-4.20,144.49,1.44,-483.11,-4.83,66196.2,661.96
180,多头进场,2025-05-01 16:00,开多,1845.58,5.4183,9999.906114,-419.74,-4.20,144.49,1.44,-483.11,-4.83,66196.2,661.96
181,多头出场,2025-06-06 04:00,平多,2414.01,5.4399,9999.841776,3120.57,31.19,5161.6,51.59,-283.69,-2.84,69316.77,693.17
181,多头进场,2025-05-07 12:00,开多,1838.24,5.4399,9999.841776,3120.57,31.19,5161.6,51.59,-283.69,-2.84,69316.77,693.17
182,多头出场,2025-06-17 20:00,平多,2499,3.9846,9999.871698,-52.33,-0.52,1467.67,14.67,-294.48,-2.94,69264.44,692.64
182,多头进场,2025-06-06 20:00,开多,2509.63,3.9846,9999.871698,-52.33,-0.52,1467.67,14.67,-294.48,-2.94,69264.44,692.64
183,空头出场,2025-06-22 20:00,平空-止盈,2174.91,4.141,9999.89385,984.09,9.84,1066.03,10.66,-145.59,-1.46,70248.52,702.49
183,空头进场,2025-06-21 00:00,开空,2414.85,4.141,9999.89385,984.09,9.84,1066.03,10.66,-145.59,-1.46,70248.52,702.49
184,空头出场,2025-07-02 20:00,平空-EMA,2498.81,4.1616,9999.783792,-409.46,-4.09,119.31,1.19,-421.08,-4.21,69839.06,698.39
184,空头进场,2025-07-02 00:00,开空,2402.87,4.1616,9999.783792,-409.46,-4.09,119.31,1.19,-421.08,-4.21,69839.06,698.39
185,多头出场,2025-09-22 08:00,平多,4305.87,3.8391,9999.818943,6517.58,65.14,9024.75,90.20,-505.96,-5.06,76356.64,763.57
185,多头进场,2025-07-03 00:00,开多,2604.73,3.8391,9999.818943,6517.58,65.14,9024.75,90.20,-505.96,-5.06,76356.64,763.57
186,空头出场,2025-09-26 00:00,平空-止盈,3911.59,2.3847,9999.953286,662.32,6.62,897.32,8.97,-90.01,-0.90,77018.96,770.19
186,空头进场,2025-09-22 12:00,开空,4193.38,2.3847,9999.953286,662.32,6.62,897.32,8.97,-90.01,-0.90,77018.96,770.19
187,多头出场,2025-10-09 20:00,平多,4314.79,2.285,9999.8455,-150.48,-1.50,860.33,8.60,-198.04,-1.98,76868.48,768.68
187,多头进场,2025-10-02 08:00,开多,4376.3,2.285,9999.8455,-150.48,-1.50,860.33,8.60,-198.04,-1.98,76868.48,768.68
188,空头出场,2025-10-27 04:00,平空-EMA,4158.46,2.4371,9999.689381,-144.96,-1.45,1623.25,16.22,-679.81,-6.79,76723.52,767.24
188,空头进场,2025-10-10 20:00,开空,4103.11,2.4371,9999.689381,-144.96,-1.45,1623.25,16.22,-679.81,-6.79,76723.52,767.24
189,多头出场,2025-10-28 08:00,平多,4094.32,2.378,9999.68024,-273.26,-2.73,110.67,1.11,-326.7,-3.27,76450.27,764.50
189,多头进场,2025-10-27 08:00,开多,4205.08,2.378,9999.68024,-273.26,-2.73,110.67,1.11,-326.7,-3.27,76450.27,764.50
190,空头出场,2025-11-03 20:00,平空-止盈,3588.89,2.513,9999.7296,971.34,9.71,992.43,9.92,-149.4,-1.49,77421.6,774.22
190,空头进场,2025-10-29 04:00,开空,3979.2,2.513,9999.7296,971.34,9.71,992.43,9.92,-149.4,-1.49,77421.6,774.22
