交易 #,类型,日期/时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %,累计P&L USDT,累计P&L %
1,空头出场,2018-05-20 20:00,平空-止盈,0.2468,40650,9999.9,-42.54,-0.43,125.08,1.25,-78.17,-0.78,-42.54,-0.43
1,空头进场,2018-05-20 16:00,开空,0.246,40650,9999.9,-42.54,-0.43,125.08,1.25,-78.17,-0.78,-42.54,-0.43
2,多头出场,2018-07-28 20:00,平多,0.1608,59311,9999.8346,-472.39,-4.72,1679.43,16.79,-876.87,-8.76,-514.93,-5.15
2,多头进场,2018-07-18 00:00,开多,0.1686,59311,9999.8346,-472.39,-4.72,1679.43,16.79,-876.87,-8.76,-514.93,-5.15
3,空头出场,2018-08-02 16:00,平空-止盈,0.1339,64391,9999.9223,1368.66,13.68,1411.6,14.11,-56.51,-0.56,853.73,8.54
3,空头进场,2018-07-30 20:00,开空,0.1553,64391,9999.9223,1368.66,13.68,1411.6,14.11,-56.51,-0.56,853.73,8.54
4,空头出场,2018-09-28 00:00,平空-EMA,0.0877,125786,9999.987,-1041.96,-10.41,661.67,6.61,-1074.18,-10.74,-188.23,-1.88
4,空头进场,2018-09-25 08:00,开空,0.0795,125786,9999.987,-1041.96,-10.41,661.67,6.61,-1074.18,-10.74,-188.23,-1.88
5,空头出场,2018-10-08 04:00,平空-EMA,0.0846,126262,9999.9504,-692.16,-6.92,70.76,0.71,-813.08,-8.13,-880.39,-8.80
5,空头进场,2018-10-03 08:00,开空,0.0792,126262,9999.9504,-692.16,-6.92,70.76,0.71,-813.08,-8.13,-880.39,-8.80
6,多头出场,2018-10-10 12:00,平多,0.0844,113895,9999.981,-397.05,-3.97,120.28,1.20,-483.36,-4.83,-1277.44,-12.77
6,多头进场,2018-10-08 20:00,开多,0.0878,113895,9999.981,-397.05,-3.97,120.28,1.20,-483.36,-4.83,-1277.44,-12.77
7,空头出场,2018-10-15 04:00,平空-止盈,0.0717,128205,9999.99,798.1,7.98,1123.2,11.23,-94.74,-0.95,-479.34,-4.79
7,空头进场,2018-10-11 08:00,开空,0.078,128205,9999.99,798.1,7.98,1123.2,11.23,-94.74,-0.95,-479.34,-4.79
8,多头出场,2018-11-08 08:00,平多,0.0766,124843,9999.9243,-446.73,-4.47,307.11,3.07,-454.43,-4.54,-926.08,-9.26
8,多头进场,2018-11-06 20:00,开多,0.0801,124843,9999.9243,-446.73,-4.47,307.11,3.07,-454.43,-4.54,-926.08,-9.26
9,空头出场,2018-11-15 00:00,平空-止盈,0.0654,134228,9999.986,1212.09,12.11,1592.31,15.92,-5,-0.05,286.01,2.86
9,空头进场,2018-11-14 08:00,开空,0.0745,134228,9999.986,1212.09,12.11,1592.31,15.92,-5,-0.05,286.01,2.86
10,多头出场,2018-12-25 08:00,平多,0.0391,229885,9999.9975,-1020.99,-10.20,1259.37,12.59,-1062.47,-10.62,-734.98,-7.35
10,多头进场,2018-12-23 08:00,开多,0.0435,229885,9999.9975,-1020.99,-10.20,1259.37,12.59,-1062.47,-10.62,-734.98,-7.35
11,空头出场,2018-12-29 00:00,平空-EMA,0.041,276243,9999.9966,-1336.63,-13.36,215.99,2.16,-1579.59,-15.79,-2071.61,-20.72
11,空头进场,2018-12-28 00:00,开空,0.0362,276243,9999.9966,-1336.63,-13.36,215.99,2.16,-1579.59,-15.79,-2071.61,-20.72
12,多头出场,2019-01-12 16:00,平多,0.0424,233644,9999.9632,-103.41,-1.03,2635.18,26.34,-355.47,-3.55,-2175.02,-21.75
12,多头进场,2019-01-02 16:00,开多,0.0428,233644,9999.9632,-103.41,-1.03,2635.18,26.34,-355.47,-3.55,-2175.02,-21.75
13,空头出场,2019-01-15 00:00,平空-EMA,0.0434,254452,9999.9636,-1053.77,-10.53,96.78,0.97,-1175.48,-11.75,-3228.79,-32.29
13,空头进场,2019-01-14 00:00,开空,0.0393,254452,9999.9636,-1053.77,-10.53,96.78,0.97,-1175.48,-11.75,-3228.79,-32.29
14,多头出场,2019-01-20 20:00,平多,0.0424,222222,9999.99,-587.49,-5.87,217.22,2.17,-849.44,-8.49,-3816.28,-38.16
14,多头进场,2019-01-17 12:00,开多,0.045,222222,9999.99,-587.49,-5.87,217.22,2.17,-849.44,-8.49,-3816.28,-38.16
15,空头出场,2019-01-28 16:00,平空-止盈,0.0379,240963,9999.9645,857.9,8.57,958.85,9.58,-77.29,-0.77,-2958.38,-29.58
15,空头进场,2019-01-27 12:00,开空,0.0415,240963,9999.9645,857.9,8.57,958.85,9.58,-77.29,-0.77,-2958.38,-29.58
16,多头出场,2019-02-14 16:00,平多,0.0401,233100,9999.99,-662.35,-6.62,18.31,0.18,-704.3,-7.04,-3620.74,-36.21
16,多头进场,2019-02-11 04:00,开多,0.0429,233100,9999.99,-662.35,-6.62,18.31,0.18,-704.3,-7.04,-3620.74,-36.21
17,多头出场,2019-02-25 04:00,平多,0.0416,232558,9999.994,-335.42,-3.35,1739.19,17.38,-470.12,-4.70,-3956.15,-39.56
17,多头进场,2019-02-18 08:00,开多,0.043,232558,9999.994,-335.42,-3.35,1739.19,17.38,-470.12,-4.70,-3956.15,-39.56
18,空头出场,2019-03-05 20:00,平空-EMA,0.0425,242130,9999.969,-300.7,-3.01,527.69,5.27,-343.98,-3.44,-4256.86,-42.57
18,空头进场,2019-03-04 08:00,开空,0.0413,242130,9999.969,-300.7,-3.01,527.69,5.27,-343.98,-3.44,-4256.86,-42.57
19,多头出场,2019-04-21 12:00,平多,0.0741,227272,9999.968,6827.47,68.24,12676.78,126.70,-50.45,-0.50,2570.61,25.71
19,多头进场,2019-03-09 12:00,开多,0.044,227272,9999.968,6827.47,68.24,12676.78,126.70,-50.45,-0.50,2570.61,25.71
20,空头出场,2019-04-22 16:00,平空-EMA,0.0752,139860,9999.99,-527.74,-5.27,0,0.00,-606.4,-6.06,2042.87,20.43
20,空头进场,2019-04-22 08:00,开空,0.0715,139860,9999.99,-527.74,-5.27,0,0.00,-606.4,-6.06,2042.87,20.43
21,多头出场,2019-04-24 00:00,平多,0.0745,128205,9999.99,-458.49,-4.58,225.77,2.26,-517.82,-5.18,1584.38,15.84
21,多头进场,2019-04-23 04:00,开多,0.078,128205,9999.99,-458.49,-4.58,225.77,2.26,-517.82,-5.18,1584.38,15.84
22,空头出场,2019-04-26 00:00,平空-EMA,0.0747,142247,9999.9641,-636.2,-6.36,23.45,0.23,-815.81,-8.15,948.18,9.48
22,空头进场,2019-04-25 00:00,开空,0.0703,142247,9999.9641,-636.2,-6.36,23.45,0.23,-815.81,-8.15,948.18,9.48
23,空头出场,2019-05-09 16:00,平空-止盈,0.0624,143678,9999.9888,1025,10.24,1086.95,10.86,-421.67,-4.21,1973.18,19.73
23,空头进场,2019-04-26 04:00,开空,0.0696,143678,9999.9888,1025,10.24,1086.95,10.86,-421.67,-4.21,1973.18,19.73
24,多头出场,2019-05-12 20:00,平多,0.069,134408,9999.9552,-735.44,-7.35,546.07,5.46,-918.97,-9.19,1237.74,12.38
24,多头进场,2019-05-12 00:00,开多,0.0744,134408,9999.9552,-735.44,-7.35,546.07,5.46,-918.97,-9.19,1237.74,12.38
25,多头出场,2019-05-23 12:00,平多,0.075,133689,9999.9372,16.72,0.17,3470.91,34.69,-446.17,-4.46,1254.46,12.54
25,多头进场,2019-05-13 20:00,开多,0.0748,133689,9999.9372,16.72,0.17,3470.91,34.69,-446.17,-4.46,1254.46,12.54
26,多头出场,2019-06-05 00:00,平多,0.0802,121654,9999.9588,-253.19,-2.53,1953.63,19.53,-515.95,-5.16,1001.27,10.01
26,多头进场,2019-05-24 16:00,开多,0.0822,121654,9999.9588,-253.19,-2.53,1953.63,19.53,-515.95,-5.16,1001.27,10.01
27,多头出场,2019-06-28 00:00,平多,0.0869,113122,9999.9848,-179.6,-1.80,2087.76,20.87,-559.3,-5.59,821.68,8.22
27,多头进场,2019-06-12 00:00,开多,0.0884,113122,9999.9848,-179.6,-1.80,2087.76,20.87,-559.3,-5.59,821.68,8.22
28,空头出场,2019-07-10 20:00,平空-止盈,0.0707,121506,9999.9438,1400.17,13.99,1550.28,15.50,-454.57,-4.54,2221.85,22.22
28,空头进场,2019-07-01 04:00,开空,0.0823,121506,9999.9438,1400.17,13.99,1550.28,15.50,-454.57,-4.54,2221.85,22.22
29,多头出场,2019-09-22 16:00,平多,0.0487,199600,9999.96,-289.3,-2.89,1092.8,10.92,-324.36,-3.24,1932.55,19.33
29,多头进场,2019-09-18 00:00,开多,0.0501,199600,9999.96,-289.3,-2.89,1092.8,10.92,-324.36,-3.24,1932.55,19.33
30,空头出场,2019-09-25 00:00,平空-止盈,0.037,215982,9999.9666,1999.64,19.99,2392.4,23.91,-69.79,-0.70,3932.19,39.32
30,空头进场,2019-09-24 04:00,开空,0.0463,215982,9999.9666,1999.64,19.99,2392.4,23.91,-69.79,-0.70,3932.19,39.32
31,多头出场,2019-10-31 20:00,平多,0.0409,230414,9999.9676,-585.75,-5.85,248.46,2.48,-765.37,-7.65,3346.44,33.46
31,多头进场,2019-10-28 08:00,开多,0.0434,230414,9999.9676,-585.75,-5.85,248.46,2.48,-765.37,-7.65,3346.44,33.46
32,多头出场,2019-11-08 20:00,平多,0.0417,235294,9999.995,-198.14,-1.98,818.53,8.18,-334.41,-3.34,3148.3,31.48
32,多头进场,2019-11-02 20:00,开多,0.0425,235294,9999.995,-198.14,-1.98,818.53,8.18,-334.41,-3.34,3148.3,31.48
33,多头出场,2019-11-15 08:00,平多,0.0421,231481,9999.9792,-264.5,-2.64,319.07,3.19,-282.78,-2.83,2883.8,28.84
33,多头进场,2019-11-10 12:00,开多,0.0432,231481,9999.9792,-264.5,-2.64,319.07,3.19,-282.78,-2.83,2883.8,28.84
34,多头出场,2019-11-19 12:00,平多,0.0418,230414,9999.9676,-378.48,-3.78,640.16,6.40,-419.75,-4.20,2505.32,25.05
34,多头进场,2019-11-15 16:00,开多,0.0434,230414,9999.9676,-378.48,-3.78,640.16,6.40,-419.75,-4.20,2505.32,25.05
35,空头出场,2019-11-25 08:00,平空-止盈,0.0341,245098,9999.9984,1632.98,16.32,1710.69,17.10,-78.53,-0.78,4138.3,41.38
35,空头进场,2019-11-21 00:00,开空,0.0408,245098,9999.9984,1632.98,16.32,1710.69,17.10,-78.53,-0.78,4138.3,41.38
36,空头出场,2019-12-14 20:00,平空-止盈,0.036,258397,9999.9639,688.02,6.88,718.51,7.18,-340.92,-3.41,4826.32,48.26
36,空头进场,2019-12-01 12:00,开空,0.0387,258397,9999.9639,688.02,6.88,718.51,7.18,-340.92,-3.41,4826.32,48.26
37,多头出场,2020-02-26 00:00,平多,0.0565,277777,9999.972,5681.58,56.79,10078.31,100.73,-366.11,-3.66,10507.9,105.08
37,多头进场,2020-01-06 16:00,开多,0.036,277777,9999.972,5681.58,56.79,10078.31,100.73,-366.11,-3.66,10507.9,105.08
38,空头出场,2020-03-02 00:00,平空-止盈,0.0459,189393,9999.9504,1297.47,12.97,1453.33,14.53,-42.88,-0.43,11805.37,118.05
38,空头进场,2020-02-26 08:00,开空,0.0528,189393,9999.9504,1297.47,12.97,1453.33,14.53,-42.88,-0.43,11805.37,118.05
39,多头出场,2020-04-10 12:00,平多,0.0333,278551,9999.9809,-733.87,-7.34,273.55,2.73,-812.8,-8.12,11071.49,110.71
39,多头进场,2020-04-07 04:00,开多,0.0359,278551,9999.9809,-733.87,-7.34,273.55,2.73,-812.8,-8.12,11071.49,110.71
40,空头出场,2020-04-13 00:00,平空-EMA,0.0346,303951,9999.9879,-526.98,-5.27,238.16,2.38,-612.9,-6.13,10544.52,105.45
40,空头进场,2020-04-10 16:00,开空,0.0329,303951,9999.9879,-526.98,-5.27,238.16,2.38,-612.9,-6.13,10544.52,105.45
41,空头出场,2020-04-17 04:00,平空-EMA,0.0345,311526,9999.9846,-758.04,-7.58,368.83,3.69,-908.43,-9.08,9786.48,97.86
41,空头进场,2020-04-13 08:00,开空,0.0321,311526,9999.9846,-758.04,-7.58,368.83,3.69,-908.43,-9.08,9786.48,97.86
42,多头出场,2020-04-21 00:00,平多,0.0339,277008,9999.9888,-619.11,-6.19,244.31,2.44,-614.42,-6.14,9167.37,91.67
42,多头进场,2020-04-18 20:00,开多,0.0361,277008,9999.9888,-619.11,-6.19,244.31,2.44,-614.42,-6.14,9167.37,91.67
43,多头出场,2020-08-19 08:00,平多,0.1317,276243,9999.9966,26358.02,263.45,32702.17,326.86,-5,-0.05,35525.39,355.25
43,多头进场,2020-04-22 20:00,开多,0.0362,276243,9999.9966,26358.02,263.45,32702.17,326.86,-5,-0.05,35525.39,355.25
44,空头出场,2020-08-26 00:00,平空-止盈,0.1113,79051,9999.9515,1192.18,11.92,1702.5,17.02,-99.86,-1.00,36717.56,367.18
44,空头进场,2020-08-22 00:00,开空,0.1265,79051,9999.9515,1192.18,11.92,1702.5,17.02,-99.86,-1.00,36717.56,367.18
45,空头出场,2020-09-04 04:00,平空-止盈,0.0945,86880,9999.888,1780.62,17.80,1984.55,19.84,-161.38,-1.61,38498.18,384.98
