交易 #,类型,日期/时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %,累计P&L USDT,累计P&L %
1,空头出场,2017-09-15 04:00,平空-止盈,215.21,33.9908,9994.99474,2671.18,26.71,2681.98,26.82,-766.73,-7.67,2671.18,26.71
1,空头进场,2017-09-08 20:00,开空,294.05,33.9908,9994.99474,2671.18,26.71,2681.98,26.82,-766.73,-7.67,2671.18,26.71
2,空头出场,2017-09-24 04:00,平空-EMA,285.93,47.4303,12664.83871,-910.02,-7.18,701.33,5.53,-917.47,-7.24,1761.16,17.61
2,空头进场,2017-09-21 20:00,开空,267.02,47.4303,12664.83871,-910.02,-7.18,701.33,5.53,-917.47,-7.24,1761.16,17.61
3,多头出场,2017-09-29 08:00,平多,280,39.3574,11755.26823,-746.58,-6.35,557.72,4.74,-977.22,-8.31,1014.58,10.15
3,多头进场,2017-09-27 20:00,开多,298.68,39.3574,11755.26823,-746.58,-6.35,557.72,4.74,-977.22,-8.31,1014.58,10.15
4,多头出场,2017-10-03 12:00,平多,291.77,36.1071,11009.05479,-484.86,-4.40,88.01,0.80,-541.33,-4.91,529.72,5.30
4,多头进场,2017-09-30 20:00,开多,304.9,36.1071,11009.05479,-484.86,-4.40,88.01,0.80,-541.33,-4.91,529.72,5.30
5,多头出场,2017-10-10 00:00,平多,288.26,34.8873,10524.45179,-478.13,-4.54,581.89,5.53,-529.27,-5.03,51.59,0.52
5,多头进场,2017-10-06 20:00,开多,301.67,34.8873,10524.45179,-478.13,-4.54,581.89,5.53,-529.27,-5.03,51.59,0.52
6,多头出场,2017-10-18 08:00,平多,305.51,30.6297,10046.5416,-698.56,-6.95,791.35,7.87,-810.28,-8.06,-646.98,-6.47
6,多头进场,2017-10-13 12:00,开多,328,30.6297,10046.5416,-698.56,-6.95,791.35,7.87,-810.28,-8.06,-646.98,-6.47
7,空头出场,2017-10-24 16:00,平空-EMA,308.19,31.6378,9348.337144,-411.67,-4.40,731.85,7.82,-464.06,-4.96,-1058.64,-10.59
7,空头进场,2017-10-21 16:00,开空,295.48,31.6378,9348.337144,-411.67,-4.40,731.85,7.82,-464.06,-4.96,-1058.64,-10.59
8,空头出场,2017-10-29 16:00,平空-EMA,304.59,30.52,8936.8664,-368.34,-4.12,78.55,0.88,-467.76,-5.23,-1426.98,-14.27
8,空头进场,2017-10-28 08:00,开空,292.82,30.52,8936.8664,-368.34,-4.12,78.55,0.88,-467.76,-5.23,-1426.98,-14.27
9,空头出场,2017-11-04 04:00,平空-EMA,304.08,29.8551,8568.712251,-518.45,-6.05,362.34,4.23,-601.09,-7.01,-1945.43,-19.45
9,空头进场,2017-11-02 04:00,开空,287.01,29.8551,8568.712251,-518.45,-6.05,362.34,4.23,-601.09,-7.01,-1945.43,-19.45
10,多头出场,2017-11-10 20:00,平多,301,25.628,8050.52364,-344.38,-4.28,377.06,4.68,-465.59,-5.78,-2289.81,-22.90
10,多头进场,2017-11-09 00:00,开多,314.13,25.628,8050.52364,-344.38,-4.28,377.06,4.68,-465.59,-5.78,-2289.81,-22.90
11,多头出场,2017-11-30 20:00,平多,392.77,23.6216,7706.310784,1563.05,20.27,4454.96,57.78,-212.67,-2.76,-726.75,-7.27
11,多头进场,2017-11-14 12:00,开多,326.24,23.6216,7706.310784,1563.05,20.27,4454.96,57.78,-212.67,-2.76,-726.75,-7.27
12,多头出场,2017-12-06 20:00,平多,420.05,20.7509,9268.596994,-561.17,-6.05,809.63,8.73,-765.57,-8.26,-1287.93,-12.88
12,多头进场,2017-12-01 20:00,开多,446.66,20.7509,9268.596994,-561.17,-6.05,809.63,8.73,-765.57,-8.26,-1287.93,-12.88
13,多头出场,2017-12-10 08:00,平多,411,18.9723,8707.716531,-918.35,-10.54,546.41,6.27,-933.05,-10.71,-2206.28,-22.06
13,多头进场,2017-12-09 08:00,开多,458.97,18.9723,8707.716531,-918.35,-10.54,546.41,6.27,-933.05,-10.71,-2206.28,-22.06
