交易 #,类型,日期/时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %,累计P&L USDT,累计P&L %
1,空头出场,2017-09-27 16:00,平空-EMA,4073,2.5694,9994.991694,-480.4,-4.80,982.83,9.83,-544.42,-5.44,-480.4,-4.80
1,空头进场,2017-09-20 00:00,开空,3890.01,2.5694,9994.991694,-480.4,-4.80,982.83,9.83,-544.42,-5.44,-480.4,-4.80
2,多头出场,2017-09-29 08:00,平多,4032.87,2.26543,9514.806,-387.95,-4.08,221.79,2.33,-566.56,-5.95,-868.35,-8.68
2,多头进场,2017-09-28 08:00,开多,4200,2.26543,9514.806,-387.95,-4.08,221.79,2.33,-566.56,-5.95,-868.35,-8.68
3,多头出场,2017-11-12 08:00,平多,5956.02,2.12257,9127.051,3504.13,38.37,7360.8,80.61,-407.85,-4.47,2635.78,26.36
3,多头进场,2017-09-30 12:00,开多,4300,2.12257,9127.051,3504.13,38.37,7360.8,80.61,-407.85,-4.47,2635.78,26.36
4,多头出场,2017-12-22 12:00,平多,12726.45,1.85316,12629.45218,10936.59,86.55,24054.36,190.37,-126.97,-1.00,13572.37,135.72
4,多头进场,2017-11-15 08:00,开多,6815.09,1.85316,12629.45218,10936.59,86.55,24054.36,190.37,-126.97,-1.00,13572.37,135.72
5,多头出场,2017-12-28 16:00,平多,13578.98,1.50556,23560.50844,-3138.54,-13.31,1266.52,5.37,-3774.17,-16.01,10433.83,104.34
5,多头进场,2017-12-26 20:00,开多,15649,1.50556,23560.50844,-3138.54,-13.31,1266.52,5.37,-3774.17,-16.01,10433.83,104.34
6,空头出场,2018-01-01 00:00,平空-EMA,13780.16,1.65857,20423.61439,-2453.39,-12.01,925.21,4.53,-2856.33,-13.98,7980.45,79.80
6,空头进场,2017-12-30 20:00,开空,12313.99,1.65857,20423.61439,-2453.39,-12.01,925.21,4.53,-2856.33,-13.98,7980.45,79.80
7,多头出场,2018-01-10 08:00,平多,13964.05,1.18467,17971.4439,-1445.91,-8.04,2367.75,13.17,-2802.44,-15.59,6534.54,65.35
7,多头进场,2018-01-03 12:00,开多,15170,1.18467,17971.4439,-1445.91,-8.04,2367.75,13.17,-2802.44,-15.59,6534.54,65.35
8,空头出场,2018-01-13 12:00,平空-EMA,14255.09,1.27912,16526.2304,-1725.12,-10.43,1936,11.71,-1901.36,-11.50,4809.41,48.09
8,空头进场,2018-01-11 08:00,开空,12920,1.27912,16526.2304,-1725.12,-10.43,1936,11.71,-1901.36,-11.50,4809.41,48.09
9,空头出场,2018-01-30 20:00,平空-止盈,10323.02,1.15012,14801.91789,2915.87,19.69,4403.18,29.73,-1594.68,-10.77,7725.28,77.25
9,空头进场,2018-01-14 20:00,开空,12869.89,1.15012,14801.91789,2915.87,19.69,4403.18,29.73,-1594.68,-10.77,7725.28,77.25
10,多头出场,2018-02-22 16:00,平多,10259.87,1.65143,17716.39241,-790.27,-4.46,1738.52,9.81,-1085.44,-6.12,6935.02,69.35
10,多头进场,2018-02-17 12:00,开多,10727.91,1.65143,17716.39241,-790.27,-4.46,1738.52,9.81,-1085.44,-6.12,6935.02,69.35
11,空头出场,2018-02-26 20:00,平空-EMA,10260.92,1.76871,16926.5547,-1239.57,-7.32,513.66,3.03,-1377.44,-8.13,5695.44,56.95
11,空头进场,2018-02-25 00:00,开空,9570,1.76871,16926.5547,-1239.57,-7.32,513.66,3.03,-1377.44,-8.13,5695.44,56.95
