交易 #,类型,日期/时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %,累计P&L USDT,累计P&L %
21,多头进场,2018-05-19 16:00,开多,709.16,24.0441,17051.11396,-1038.41,-6.09,489.67,2.87,-1142.45,-6.70,6021.25,60.21
22,空头出场,2018-05-28 00:00,平空-止盈,560.48,24.982,16013.21218,1996.29,12.46,2265.11,14.14,-707.75,-4.42,8017.54,80.18
22,空头进场,2018-05-23 04:00,开空,640.99,24.982,16013.21218,1996.29,12.46,2265.11,14.14,-707.75,-4.42,8017.54,80.18
23,多头出场,2018-07-19 04:00,平多,479.41,36.1276,18008.52477,-706.26,-3.92,605.16,3.36,-1109.45,-6.16,7311.29,73.11
23,多头进场,2018-07-18 00:00,开多,498.47,36.1276,18008.52477,-706.26,-3.92,605.16,3.36,-1109.45,-6.16,7311.29,73.11
24,空头出场,2018-07-25 00:00,平空-EMA,476.27,37.634,17302.60784,-638.95,-3.69,735,4.25,-931.06,-5.38,6672.34,66.72
24,空头进场,2018-07-20 12:00,开空,459.76,37.634,17302.60784,-638.95,-3.69,735,4.25,-931.06,-5.38,6672.34,66.72
25,空头出场,2018-07-31 20:00,平空-止盈,430,36.1216,16663.97773,1115.59,6.69,1220.89,7.32,-57.1,-0.34,7787.93,77.88
25,空头进场,2018-07-30 16:00,开空,461.33,36.1216,16663.97773,1115.59,6.69,1220.89,7.32,-57.1,-0.34,7787.93,77.88
26,多头出场,2018-11-09 20:00,平多,211.11,81.8028,17779.02055,-527.16,-2.96,601.36,3.38,-649.41,-3.65,7260.77,72.61
26,多头进场,2018-11-06 20:00,开多,217.34,81.8028,17779.02055,-527.16,-2.96,601.36,3.38,-649.41,-3.65,7260.77,72.61
27,空头出场,2018-11-14 20:00,平空-止盈,191.49,84.3543,17252.14144,1082.43,6.27,1233.91,7.15,-82.01,-0.48,8343.21,83.43
27,空头进场,2018-11-14 16:00,开空,204.52,84.3543,17252.14144,1082.43,6.27,1233.91,7.15,-82.01,-0.48,8343.21,83.43
28,多头出场,2018-12-28 00:00,平多,114.1,143.7174,18334.02872,-1953.24,-10.65,4316.73,23.53,-2031.27,-11.07,6389.97,63.90
28,多头进场,2018-12-23 08:00,开多,127.57,143.7174,18334.02872,-1953.24,-10.65,4316.73,23.53,-2031.27,-11.07,6389.97,63.90
29,多头出场,2019-01-10 16:00,平多,130.99,122.9401,16381.76833,-294.09,-1.79,3189.48,19.46,-777.8,-4.75,6095.88,60.96
29,多头进场,2018-12-29 00:00,开多,133.25,122.9401,16381.76833,-294.09,-1.79,3189.48,19.46,-777.8,-4.75,6095.88,60.96
30,空头出场,2019-01-26 00:00,平空-止盈,114.94,128.0674,16087.82679,1352.36,8.40,1814.36,11.27,-575.38,-3.57,7448.23,74.48
30,空头进场,2019-01-11 00:00,开空,125.62,128.0674,16087.82679,1352.36,8.40,1814.36,11.27,-575.38,-3.57,7448.23,74.48
31,多头出场,2019-03-04 08:00,平多,128.76,145.6813,17439.50842,1300.32,7.45,6734.87,38.60,-576.88,-3.31,8748.55,87.49
31,多头进场,2019-02-09 00:00,开多,119.71,145.6813,17439.50842,1300.32,7.45,6734.87,38.60,-576.88,-3.31,8748.55,87.49
32,空头出场,2019-03-05 20:00,平空-EMA,133.95,150.4913,18739.17668,-1438.58,-7.67,109.52,0.58,-1586.52,-8.46,7309.97,73.10
32,空头进场,2019-03-04 16:00,开空,124.52,150.4913,18739.17668,-1438.58,-7.67,109.52,0.58,-1586.52,-8.46,7309.97,73.10
33,多头出场,2019-03-11 20:00,平多,131.65,126.6104,17301.31116,-650.04,-3.76,452.21,2.61,-772.11,-4.46,6659.93,66.60
33,多头进场,2019-03-06 00:00,开多,136.65,126.6104,17301.31116,-650.04,-3.76,452.21,2.61,-772.11,-4.46,6659.93,66.60
34,多头出场,2019-03-25 20:00,平多,133.88,123.4275,16651.60403,-143.72,-0.86,1171.64,7.03,-465.01,-2.79,6516.21,65.16
34,多头进场,2019-03-15 16:00,开多,134.91,123.4275,16651.60403,-143.72,-0.86,1171.64,7.03,-465.01,-2.79,6516.21,65.16
35,多头出场,2019-04-26 04:00,平多,154.72,120.2765,16507.94963,2083.67,12.62,5839.59,35.36,-55.16,-0.33,8599.89,86.00
35,多头进场,2019-03-27 12:00,开多,137.25,120.2765,16507.94963,2083.67,12.62,5839.59,35.36,-55.16,-0.33,8599.89,86.00
36,空头出场,2019-04-30 16:00,平空-EMA,159.63,120.6006,18590.58249,-679.81,-3.65,36.53,0.20,-750.99,-4.04,7920.07,79.20
36,空头进场,2019-04-29 20:00,开空,154.15,120.6006,18590.58249,-679.81,-3.65,36.53,0.20,-750.99,-4.04,7920.07,79.20
37,多头出场,2019-05-06 12:00,平多,160.06,107.0087,17911.11621,-800.82,-4.47,410.52,2.29,-886.43,-4.95,7119.25,71.19
37,多头进场,2019-05-03 16:00,开多,167.38,107.0087,17911.11621,-800.82,-4.47,410.52,2.29,-886.43,-4.95,7119.25,71.19
38,多头出场,2019-06-10 00:00,平多,233.59,100.2912,17110.68163,6296.07,36.78,11826.81,69.08,-591.25,-3.45,13415.32,134.15
38,多头进场,2019-05-06 20:00,开多,170.61,100.2912,17110.68163,6296.07,36.78,11826.81,69.08,-591.25,-3.45,13415.32,134.15
39,多头出场,2019-07-02 16:00,平多,276.55,94.9398,23403.6101,2827.16,12.07,11408.61,48.72,-963,-4.11,16242.48,162.42
39,多头进场,2019-06-11 04:00,开多,246.51,94.9398,23403.6101,2827.16,12.07,11408.61,48.72,-963,-4.11,16242.48,162.42
40,多头出场,2019-07-11 08:00,平多,283.12,89.0338,26229.35748,-1047.83,-3.99,2087.19,7.95,-1265.82,-4.82,15194.66,151.95
40,多头进场,2019-07-03 20:00,开多,294.6,89.0338,26229.35748,-1047.83,-3.99,2087.19,7.95,-1265.82,-4.82,15194.66,151.95
41,空头出场,2019-07-14 20:00,平空-止盈,234.35,93.9068,25182.04749,3151.39,12.51,3622.54,14.38,-1029.6,-4.09,18346.05,183.46
41,空头进场,2019-07-11 20:00,开空,268.16,93.9068,25182.04749,3151.39,12.51,3622.54,14.38,-1029.6,-4.09,18346.05,183.46
42,多头出场,2019-09-24 20:00,平多,192.66,146.1913,28331.87394,-194.91,-0.69,4392.04,15.49,-992.19,-3.50,18151.15,181.51
42,多头进场,2019-09-16 08:00,开多,193.8,146.1913,28331.87394,-194.91,-0.69,4392.04,15.49,-992.19,-3.50,18151.15,181.51
43,空头出场,2019-10-09 16:00,平空-EMA,183.49,170.6311,28137.06839,-3201.76,-11.37,2168.3,7.70,-3534.19,-12.55,14949.39,149.49
43,空头进场,2019-09-25 00:00,开空,164.9,170.6311,28137.06839,-3201.76,-11.37,2168.3,7.70,-3534.19,-12.55,14949.39,149.49
44,多头出场,2019-10-12 00:00,平多,181.99,130.7857,24936.90942,-1159.59,-4.65,769.63,3.08,-1458.96,-5.85,13789.8,137.90
44,多头进场,2019-10-09 20:00,开多,190.67,130.7857,24936.90942,-1159.59,-4.65,769.63,3.08,-1458.96,-5.85,13789.8,137.90
45,空头出场,2019-10-23 12:00,平空-止盈,166.12,134.5437,23777.9081,1404.44,5.90,1593.22,6.70,-311.92,-1.31,15194.25,151.94
45,空头进场,2019-10-16 16:00,开空,176.73,134.5437,23777.9081,1404.44,5.90,1593.22,6.70,-311.92,-1.31,15194.25,151.94
46,多头出场,2019-11-01 20:00,平多,179.06,134.1161,25181.63894,-1191.41,-4.73,655.31,2.60,-1367.16,-5.43,14002.84,140.03
46,多头进场,2019-10-29 16:00,开多,187.76,134.1161,25181.63894,-1191.41,-4.73,655.31,2.60,-1367.16,-5.43,14002.84,140.03
47,多头出场,2019-11-15 08:00,平多,182.18,129.7994,23990.8231,-367.79,-1.53,1319.75,5.50,-557.15,-2.32,13635.05,136.35
47,多头进场,2019-11-04 16:00,开多,184.83,129.7994,23990.8231,-367.79,-1.53,1319.75,5.50,-557.15,-2.32,13635.05,136.35
48,空头出场,2019-11-21 20:00,平空-止盈,161.26,132.1136,23623.23282,2296.13,9.71,2835.24,12.00,-18.42,-0.08,15931.18,159.31
48,空头进场,2019-11-19 00:00,开空,178.81,132.1136,23623.23282,2296.13,9.71,2835.24,12.00,-18.42,-0.08,15931.18,159.31
49,多头出场,2020-01-09 00:00,平多,137.84,183.1158,25918.21033,-703.11,-2.71,1127.85,4.35,-714.29,-2.75,15228.07,152.28
49,多头进场,2020-01-06 16:00,开多,141.54,183.1158,25918.21033,-703.11,-2.71,1127.85,4.35,-714.29,-2.75,15228.07,152.28
50,多头出场,2020-02-26 20:00,平多,226.35,176.9382,25215.46288,14801.87,58.67,25802.68,102.28,-347.02,-1.38,30029.94,300.30
50,多头进场,2020-01-10 20:00,开多,142.51,176.9382,25215.46288,14801.87,58.67,25802.68,102.28,-347.02,-1.38,30029.94,300.30
51,空头出场,2020-03-02 20:00,平空-EMA,228.36,184.94,40009.9196,-2264.1,-5.66,490.43,1.23,-2509.3,-6.27,27765.84,277.66
51,空头进场,2020-03-02 00:00,开空,216.34,184.94,40009.9196,-2264.1,-5.66,490.43,1.23,-2509.3,-6.27,27765.84,277.66
52,多头出场,2020-03-08 20:00,平多,216.73,157.2462,37746.95031,-3702.89,-9.80,1849.21,4.90,-4429.63,-11.73,24062.94,240.63
52,多头进场,2020-03-06 16:00,开多,240.05,157.2462,37746.95031,-3702.89,-9.80,1849.21,4.90,-4429.63,-11.73,24062.94,240.63
53,空头出场,2020-03-12 12:00,平空-止盈,171.61,159.885,34045.9119,6577.31,19.31,7230.56,21.23,-168.91,-0.50,30640.25,306.40
53,空头进场,2020-03-09 00:00,开空,212.94,159.885,34045.9119,6577.31,19.31,7230.56,21.23,-168.91,-0.50,30640.25,306.40
54,多头出场,2020-04-10 20:00,平多,153.06,251.8597,40619.93242,-2109.87,-5.19,3742.47,9.21,-2329.86,-5.73,28530.38,285.30
54,多头进场,2020-04-06 20:00,开多,161.28,251.8597,40619.93242,-2109.87,-5.19,3742.47,9.21,-2329.86,-5.73,28530.38,285.30
55,多头出场,2020-04-13 08:00,平多,152.36,235.2255,38511.11886,-2709.34,-7.03,223.03,0.58,-3246.55,-8.43,25821.04,258.21
55,多头进场,2020-04-13 00:00,开多,163.72,235.2255,38511.11886,-2709.34,-7.03,223.03,0.58,-3246.55,-8.43,25821.04,258.21
56,多头出场,2020-05-10 08:00,平多,185.93,217.5821,35803.13456,4613.78,12.88,13635.38,38.07,-17.9,-0.05,30434.81,304.35
56,多头进场,2020-04-16 12:00,开多,164.55,217.5821,35803.13456,4613.78,12.88,13635.38,38.07,-17.9,-0.05,30434.81,304.35
57,多头出场,2020-05-26 20:00,平多,197.63,203.9596,40414.59474,-146.42,-0.36,3838.71,9.49,-1343.91,-3.32,30288.4,302.88
57,多头进场,2020-05-13 20:00,开多,198.15,203.9596,40414.59474,-146.42,-0.36,3838.71,9.49,-1343.91,-3.32,30288.4,302.88
58,多头出场,2020-06-15 12:00,平多,224.56,195.0225,40268.2458,3483.98,8.65,9208.33,22.86,-373.12,-0.93,33772.37,337.72
